User1,FileName1,Match1,User2,FileName2,Match2,Lines_Matched,URL
clannister,clannister_Warmup.java,82,jbaxter5,jbaxter5_Warmup.java,72,17,http://moss.stanford.edu/results/934408726/match0.html
jbaxter5,jbaxter5_Warmup.java,65,stentacles,stentacles_Warmup.java,86,16,http://moss.stanford.edu/results/934408726/match1.html
clannister,clannister_Warmup.java,74,stentacles,stentacles_Warmup.java,86,16,http://moss.stanford.edu/results/934408726/match2.html
hlloyd,hlloyd_Warmup.java,70,hpataki,hpataki_Warmup.java,70,9,http://moss.stanford.edu/results/934408726/match3.html
fbordeau,fbordeau_Warmup.java,94,rlupin,rlupin_Warmup.java,68,13,http://moss.stanford.edu/results/934408726/match4.html
kbarela,kbarela_Warmup.java,86,scarter,previous_scarter_Warmup.java,86,14,http://moss.stanford.edu/results/934408726/match6.html
kbarela,kbarela_Warmup.java,86,asillz,previous_asillz_Warmup.java,86,14,http://moss.stanford.edu/results/934408726/match7.html
ssnape,ssnape_Warmup.java,88,tfoley1,tfoley1_Warmup.java,88,11,http://moss.stanford.edu/results/934408726/match8.html
wwheaton,previous_wwheaton_Warmup.java,88,tfoley1,tfoley1_Warmup.java,88,11,http://moss.stanford.edu/results/934408726/match9.html
wwheaton,previous_wwheaton_Warmup.java,88,ssnape,ssnape_Warmup.java,88,11,http://moss.stanford.edu/results/934408726/match10.html
jtaylor,previous_jtaylor_Warmup.java,88,tfoley1,tfoley1_Warmup.java,88,11,http://moss.stanford.edu/results/934408726/match11.html
jtaylor,previous_jtaylor_Warmup.java,88,ssnape,ssnape_Warmup.java,88,10,http://moss.stanford.edu/results/934408726/match12.html
cdarwin,previous_cdarwin_Warmup.java,88,tfoley1,tfoley1_Warmup.java,88,11,http://moss.stanford.edu/results/934408726/match14.html
cdarwin,previous_cdarwin_Warmup.java,88,ssnape,ssnape_Warmup.java,88,10,http://moss.stanford.edu/results/934408726/match15.html
sblack,sblack_Warmup.java,70,schott,schott_Warmup.java,67,12,http://moss.stanford.edu/results/934408726/match19.html
scantwell,scantwell_Warmup.java,78,vsoriano,vsoriano_Warmup.java,78,11,http://moss.stanford.edu/results/934408726/match20.html
zcorbitt,previous_zcorbitt_Warmup.java,78,vsoriano,vsoriano_Warmup.java,78,11,http://moss.stanford.edu/results/934408726/match21.html
zcorbitt,previous_zcorbitt_Warmup.java,78,scantwell,scantwell_Warmup.java,78,11,http://moss.stanford.edu/results/934408726/match22.html
mduckett,previous_mduckett_Warmup.java,78,vsoriano,vsoriano_Warmup.java,78,12,http://moss.stanford.edu/results/934408726/match23.html
mduckett,previous_mduckett_Warmup.java,78,scantwell,scantwell_Warmup.java,78,12,http://moss.stanford.edu/results/934408726/match24.html
iwitt,previous_iwitt_Warmup.java,78,vsoriano,vsoriano_Warmup.java,78,11,http://moss.stanford.edu/results/934408726/match26.html
iwitt,previous_iwitt_Warmup.java,78,scantwell,scantwell_Warmup.java,78,11,http://moss.stanford.edu/results/934408726/match27.html
hpotter,hpotter_Warmup.java,65,pbaelish,pbaelish_Warmup.java,65,9,http://moss.stanford.edu/results/934408726/match30.html
jwakeman,jwakeman_Warmup.java,54,triddle,triddle_Warmup.java,63,9,http://moss.stanford.edu/results/934408726/match43.html
amcintoshWarmup.java,amcintoshWarmup.java,77,tshell,previous_tshell_Warmup.java,77,11,http://moss.stanford.edu/results/934408726/match44.html
amcintoshWarmup.java,amcintoshWarmup.java,77,llinville,previous_llinville_Warmup.java,77,11,http://moss.stanford.edu/results/934408726/match45.html
amcintoshWarmup.java,amcintoshWarmup.java,77,efulton,previous_efulton_Warmup.java,77,11,http://moss.stanford.edu/results/934408726/match46.html
amcintoshWarmup.java,amcintoshWarmup.java,77,croden,previous_croden_Warmup.java,77,13,http://moss.stanford.edu/results/934408726/match47.html
amcintoshWarmup.java,amcintoshWarmup.java,77,cbone,previous_cbone_Warmup.java,77,11,http://moss.stanford.edu/results/934408726/match48.html
hpataki,hpataki_Warmup.java,52,pbaelish,pbaelish_Warmup.java,61,8,http://moss.stanford.edu/results/934408726/match49.html
hpataki,hpataki_Warmup.java,52,mthunder,mthunder_Warmup.java,51,8,http://moss.stanford.edu/results/934408726/match50.html
hpataki,hpataki_Warmup.java,52,hpotter,hpotter_Warmup.java,61,9,http://moss.stanford.edu/results/934408726/match51.html
